day,month_cos,month_sin,tod_id,start_station_id,end_station_id,direction_id,hour,min,link_load,output
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,8,30,,36366.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,8,45,,33649.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,9,0,,22154.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,9,15,,17765.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,9,30,,17138.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,9,45,,14003.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,10,0,,12122.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,10,15,,10450.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,10,30,,10450.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,10,45,,8151.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,11,0,,8151.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,11,15,,7942.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,11,30,,8778.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,11,45,,6897.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,12,0,,7106.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,12,15,,7106.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,12,30,,7733.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,12,45,,6270.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,13,0,,6270.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,13,15,,6270.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,13,30,,6688.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,13,45,,5225.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,14,0,,5643.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,14,15,,5643.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,14,30,,7106.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,14,45,,6270.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,15,0,,7315.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,15,15,,7942.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,15,30,,9405.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,15,45,,8778.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,16,0,,8987.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,16,15,,9823.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,16,30,,10868.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,16,45,,10450.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,17,0,,10868.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,17,15,,11913.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,17,30,,11286.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,17,45,,9614.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,18,0,,9405.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,18,15,,8987.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,18,30,,7942.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,18,45,,6479.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,19,0,,6479.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,19,15,,5016.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,19,30,,4180.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,19,45,,2926.0
