date,quarterhour,from_station,to_station,direction,link_load
02/06/2019,0800,Northolt,Greenford,EB,79.89886144672728
02/06/2019,0815,Northolt,Greenford,EB,85.53878107826098
02/06/2019,0830,Northolt,Greenford,EB,91.17870070979467
02/06/2019,0845,Northolt,Greenford,EB,101.51855336760643
02/06/2019,0900,Northolt,Greenford,EB,102.45853997286204
02/06/2019,0915,Northolt,Greenford,EB,112.7983926306738
02/06/2019,0930,Northolt,Greenford,EB,114.67836584118503
02/06/2019,0945,Northolt,Greenford,EB,115.61835244644067
02/06/2019,1000,Northolt,Greenford,EB,117.49832565695188
02/06/2019,1015,Northolt,Greenford,EB,133.47809794629734
02/06/2019,1030,Northolt,Greenford,EB,134.41808455155297
02/06/2019,1045,Northolt,Greenford,EB,148.5178836303872
02/06/2019,1100,Northolt,Greenford,EB,162.6176827092214
02/06/2019,1115,Northolt,Greenford,EB,180.4774282090781
02/06/2019,1130,Northolt,Greenford,EB,164.49765591973264
02/06/2019,1145,Northolt,Greenford,EB,170.1375755512663
02/06/2019,1200,Northolt,Greenford,EB,184.23737463010056
02/06/2019,1215,Northolt,Greenford,EB,176.71748178805564
02/06/2019,1230,Northolt,Greenford,EB,147.5778970251316
02/06/2019,1245,Northolt,Greenford,EB,168.2576023407551
02/06/2019,1300,Northolt,Greenford,EB,171.07756215652196
02/06/2019,1315,Northolt,Greenford,EB,138.17803097257544
02/06/2019,1330,Northolt,Greenford,EB,143.81795060410911
02/06/2019,1345,Northolt,Greenford,EB,153.21781665666526
02/06/2019,1400,Northolt,Greenford,EB,140.05800418308664
02/06/2019,1415,Northolt,Greenford,EB,125.01821849899682
02/06/2019,1430,Northolt,Greenford,EB,126.89819170950804
02/06/2019,1445,Northolt,Greenford,EB,117.49832565695188
02/06/2019,1500,Northolt,Greenford,EB,105.27849978862888
02/06/2019,1515,Northolt,Greenford,EB,96.81862034132836
02/06/2019,1530,Northolt,Greenford,EB,96.81862034132836
02/06/2019,1545,Northolt,Greenford,EB,96.81862034132836
02/06/2019,1600,Northolt,Greenford,EB,87.4187542887722
02/06/2019,1615,Northolt,Greenford,EB,88.35874089402782
02/06/2019,1630,Northolt,Greenford,EB,90.23871410453906
02/06/2019,1645,Northolt,Greenford,EB,95.87863373607274
02/06/2019,1700,Northolt,Greenford,EB,84.59879447300536
02/06/2019,1715,Northolt,Greenford,EB,85.53878107826098
02/06/2019,1730,Northolt,Greenford,EB,92.11868731505028
02/06/2019,1745,Northolt,Greenford,EB,86.4787676835166
