date,quarterhour,from_station,to_station,direction,link_load
02/04/2019,0130,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0145,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0200,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0215,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0230,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0245,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0300,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0315,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0330,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0345,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0400,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0415,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0430,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0445,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0500,Ruislip Gardens,South Ruislip,EB,10.266927798020467
02/04/2019,0515,Ruislip Gardens,South Ruislip,EB,15.867070233304359
02/04/2019,0530,Ruislip Gardens,South Ruislip,EB,31.734140466608718
02/04/2019,0545,Ruislip Gardens,South Ruislip,EB,46.667853627365766
02/04/2019,0600,Ruislip Gardens,South Ruislip,EB,68.135066295954
02/04/2019,0615,Ruislip Gardens,South Ruislip,EB,84.00213652925837
02/04/2019,0630,Ruislip Gardens,South Ruislip,EB,118.53634821350903
02/04/2019,0645,Ruislip Gardens,South Ruislip,EB,128.8032760115295
02/04/2019,0700,Ruislip Gardens,South Ruislip,EB,157.73734526049626
02/04/2019,0715,Ruislip Gardens,South Ruislip,EB,205.33855596040937
02/04/2019,0730,Ruislip Gardens,South Ruislip,EB,212.80541254078787
02/04/2019,0745,Ruislip Gardens,South Ruislip,EB,239.87276764466
02/04/2019,0800,Ruislip Gardens,South Ruislip,EB,244.5395530073966
02/04/2019,0815,Ruislip Gardens,South Ruislip,EB,218.40555497607176
02/04/2019,0830,Ruislip Gardens,South Ruislip,EB,162.40413062323285
02/04/2019,0845,Ruislip Gardens,South Ruislip,EB,150.27048868011775
02/04/2019,0900,Ruislip Gardens,South Ruislip,EB,98.93584969001542
02/04/2019,0915,Ruislip Gardens,South Ruislip,EB,79.33535116652179
02/04/2019,0930,Ruislip Gardens,South Ruislip,EB,76.53527994887985
02/04/2019,0945,Ruislip Gardens,South Ruislip,EB,62.53492386067012
02/04/2019,1000,Ruislip Gardens,South Ruislip,EB,54.134710207744284
02/04/2019,1015,Ruislip Gardens,South Ruislip,EB,46.667853627365766
02/04/2019,1030,Ruislip Gardens,South Ruislip,EB,46.667853627365766
02/04/2019,1045,Ruislip Gardens,South Ruislip,EB,36.40092582934529
02/04/2019,1100,Ruislip Gardens,South Ruislip,EB,36.40092582934529
02/04/2019,1115,Ruislip Gardens,South Ruislip,EB,35.46756875679798
02/04/2019,1130,Ruislip Gardens,South Ruislip,EB,39.20099704698724
02/04/2019,1145,Ruislip Gardens,South Ruislip,EB,30.8007833940614
02/04/2019,1200,Ruislip Gardens,South Ruislip,EB,31.734140466608718
02/04/2019,1215,Ruislip Gardens,South Ruislip,EB,31.734140466608718
02/04/2019,1230,Ruislip Gardens,South Ruislip,EB,34.534211684250664
02/04/2019,1245,Ruislip Gardens,South Ruislip,EB,28.00071217641946
02/04/2019,1300,Ruislip Gardens,South Ruislip,EB,28.00071217641946
