Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
MARu_CEN_WB>LANu_CEN_WB@CEN,Central,WB,33,640,MARu,Marble Arch,629,LANu,Lancaster Gate,27 965,1 940,7 980,7 361,7 087,2 763,833,0,14,31,89,210,374,516,707,828,915,931,916,832,768,641,538,478,423,368,344,320,286,265,253,242,237,239,242,247,252,259,269,276,281,291,306,314,329,343,371,381,412,456,489,532,580,598,627,652,649,652,642,610,565,519,460,415,358,319,274,241,212,191,175,161,147,140,129,120,113,104,92,82,70,62,56,47,35,26,16,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LANu_CEN_WB>QWYu_CEN_WB@CEN,Central,WB,34,629,LANu,Lancaster Gate,681,QWYu,Queensway,26 994,1 761,7 761,7 057,6 910,2 691,814,0,0,31,88,179,324,486,654,804,885,917,894,822,726,631,529,463,405,356,330,305,279,259,240,232,228,231,228,235,240,251,254,262,269,282,286,298,312,332,350,378,396,436,472,514,549,571,622,645,628,646,654,584,538,517,443,397,355,309,270,237,203,191,173,155,142,136,121,115,108,102,90,82,71,63,55,44,33,25,16,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QWYu_CEN_WB>NHGu_CEN_WB@CEN,Central,WB,35,681,QWYu,Queensway,663,NHGu,Notting Hill Gate,25 320,1 562,7 244,6 535,6 627,2 567,786,0,0,30,68,172,282,428,582,748,792,853,835,771,662,603,500,442,384,346,309,284,258,239,222,210,209,209,209,212,223,229,235,242,254,260,269,273,289,304,329,350,369,395,460,473,519,542,600,598,617,611,641,566,524,488,448,373,347,302,263,214,198,180,161,147,140,125,117,109,103,97,86,76,70,62,52,46,36,24,15,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NHGu_CEN_WB>HPKu_CEN_WB@CEN,Central,WB,36,663,NHGu,Notting Hill Gate,608,HPKu,Holland Park,23 495,1 398,6 088,5 803,6 879,2 551,776,0,0,19,62,129,258,392,538,646,724,718,694,627,564,487,425,366,320,274,245,224,207,191,180,171,167,171,173,179,192,201,209,217,229,237,245,250,267,286,299,320,363,388,440,496,532,560,612,625,650,636,644,609,551,496,469,401,343,312,256,217,189,172,153,140,134,120,112,106,101,91,85,76,67,60,55,45,35,26,16,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPKu_CEN_WB>SBCu_CEN_WB@CEN,Central,WB,37,608,HPKu,Holland Park,700,SBCu,Shepherds Bush,22 316,1 253,5 565,5 398,6 792,2 530,780,0,0,18,52,126,222,348,488,602,661,674,655,573,502,430,374,321,291,254,227,203,184,167,156,149,155,151,157,162,178,179,190,198,215,215,227,234,257,265,293,305,350,383,426,472,509,561,602,617,643,658,625,599,560,495,450,403,340,301,258,220,192,166,152,139,135,115,111,105,102,91,86,78,70,60,54,46,35,26,16,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SBCu_CEN_WB>WCTu_CEN_WB@CEN,Central,WB,38,700,SBCu,Shepherds Bush,764,WCTu,White City,19 860,1 084,4 712,4 603,6 409,2 328,724,0,0,18,50,100,199,304,414,512,560,562,549,491,426,377,324,275,243,208,185,163,147,133,125,123,127,124,127,133,145,146,154,164,178,179,190,201,220,229,258,285,311,352,386,430,470,516,535,592,616,617,609,587,536,476,426,372,324,268,228,203,177,155,141,132,119,107,102,100,94,87,84,75,64,56,50,39,31,22,13,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WCTu_CEN_WB>EACu_CEN_WB@CEN,Central,WB,39,764,WCTu,White City,563,EACu,East Acton,18 088,864,3 519,4 246,6 412,2 331,716,0,1,13,40,75,154,254,327,379,433,420,391,356,325,271,244,202,187,163,147,126,122,107,102,103,112,111,114,119,133,135,142,150,168,170,178,189,213,222,237,262,307,340,384,420,485,515,543,568,607,593,614,571,543,498,455,362,339,284,235,194,181,154,136,125,119,105,98,100,95,87,79,74,59,53,45,40,31,24,15,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
EACu_CEN_WB>NACu_CEN_WB@CEN,Central,WB,40,563,EACu,East Acton,653,NACu,North Acton,16 900,734,3 235,3 993,6 039,2 235,664,0,1,14,25,65,128,219,280,357,379,391,342,329,282,263,221,209,170,159,134,123,109,107,95,100,98,103,106,116,119,127,135,149,153,161,169,187,193,210,225,259,276,317,357,391,437,469,504,540,575,570,579,553,526,475,420,377,321,266,228,202,162,145,126,115,104,96,94,88,80,80,74,65,56,51,43,39,33,23,17,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NACu_CEN_WB>HLNu_CEN_WB@CEN,Central,WB,41,653,NACu,North Acton,595,HLNu,Hanger Lane,9 651,363,1 383,2 263,3 897,1 358,385,0,2,2,12,40,71,100,136,168,165,169,155,144,116,109,86,80,70,67,54,54,51,47,43,50,49,52,50,61,62,67,68,84,86,92,93,113,115,125,128,165,175,200,234,272,288,314,330,355,364,346,369,364,313,297,285,217,187,168,134,120,110,89,82,76,63,58,54,55,48,46,44,39,34,28,25,20,18,12,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLNu_CEN_WB>PERu_CEN_WB@CEN,Central,WB,42,595,HLNu,Hanger Lane,673,PERu,Perivale,8 465,277,1 093,1 951,3 526,1 272,346,0,0,2,12,24,46,83,109,118,137,133,119,106,99,83,76,64,57,53,46,43,40,40,40,41,42,45,47,49,52,58,62,68,73,82,86,92,99,112,120,133,150,180,197,226,254,285,294,320,319,336,322,322,310,290,247,225,186,148,130,110,89,85,72,63,57,58,48,46,43,42,35,34,30,28,23,21,16,13,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERu_CEN_WB>GFDu_CEN_WB@CEN,Central,WB,43,673,PERu,Perivale,589,GFDu,Greenford,7 476,230,1 026,1 708,3 080,1 109,322,0,0,3,12,23,42,65,86,108,114,123,118,106,93,87,69,62,57,47,43,40,39,36,38,39,39,37,44,45,47,48,59,60,64,65,78,79,85,88,110,116,131,140,180,196,209,223,251,278,279,305,306,303,259,254,217,187,156,135,105,90,87,76,66,59,56,47,45,41,41,35,35,34,30,27,23,19,14,11,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFDu_CEN_WB>NHTu_CEN_WB@CEN,Central,WB,44,589,GFDu,Greenford,657,NHTu,Northolt,5 050,128,640,1 220,2 088,756,218,0,0,2,7,13,24,36,47,60,64,69,66,68,59,56,50,46,37,34,31,28,27,26,26,26,27,27,28,30,34,36,39,42,47,49,51,55,63,68,75,83,101,109,123,140,163,167,181,187,204,185,199,192,180,147,144,117,99,88,79,70,60,53,47,42,39,32,30,27,27,22,23,20,21,17,17,12,11,8,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NHTu_CEN_WB>SRPu_CEN_WB@CEN,Central,WB,45,657,NHTu,Northolt,710,SRPu,South Ruislip,1 983,77,298,523,753,260,73,0,0,2,5,9,12,22,27,29,33,39,33,34,31,26,18,18,12,13,12,13,11,13,12,13,12,15,13,14,15,19,19,20,21,24,23,23,24,29,30,32,37,46,47,53,57,68,62,72,68,73,66,72,56,57,49,43,31,32,25,22,17,19,17,15,14,14,11,10,10,9,8,7,7,5,5,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPu_CEN_WB>RUGu_CEN_WB@CEN,Central,WB,46,710,SRPu,South Ruislip,692,RUGu,Ruislip Gardens,1 150,48,205,293,408,152,44,0,0,1,3,3,8,13,20,21,27,25,25,22,20,17,14,11,8,7,8,7,7,7,8,8,8,8,8,8,9,10,11,13,12,13,13,14,13,15,16,20,20,23,25,31,31,34,36,37,36,38,38,35,34,31,27,23,21,18,15,13,11,10,10,9,8,7,7,7,5,5,5,4,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUGu_CEN_WB>WRPu_CEN_WB@CEN,Central,WB,47,692,RUGu,Ruislip Gardens,762,WRPu,West Ruislip,655,28,151,177,194,81,23,0,0,0,0,1,5,9,12,17,20,18,19,17,16,12,11,7,6,4,5,5,5,4,5,4,4,4,4,4,4,5,6,7,7,8,9,9,10,11,11,11,13,13,13,16,16,15,16,17,17,19,18,17,16,13,12,12,10,9,8,6,6,5,5,5,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NACu_CEN_WB>WACu_CEN_WB@CEN,Central,WB,48,653,NACu,North Acton,753,WACu,West Acton,5 939,198,1 273,1 516,2 000,738,215,0,1,2,9,17,29,58,82,97,122,129,130,126,135,118,111,99,84,62,60,56,43,45,47,41,42,43,48,45,46,50,57,56,58,61,68,65,68,73,88,87,95,113,121,127,140,159,152,179,175,191,194,193,177,170,144,125,114,91,79,65,47,44,41,37,33,31,31,27,26,26,26,22,19,18,14,12,9,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WACu_CEN_WB>EBYu_CEN_WB@CEN,Central,WB,49,753,WACu,West Acton,560,EBYu,Ealing Broadway,5 463,157,1 134,1 448,1 820,712,191,1,1,2,9,16,26,40,62,87,100,116,120,121,106,100,93,86,74,67,64,52,48,44,45,39,40,42,46,44,45,49,57,55,57,60,66,62,63,68,82,81,87,105,112,116,129,131,141,150,163,178,178,179,164,158,134,126,106,97,73,59,52,39,40,33,30,28,28,24,23,23,23,18,17,14,13,10,9,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
